Transaction Date,Description,Amount
06/01/2026,PAYROLL DIRECT DEPOSIT ACME CORP,1600.00
06/02/2026,RENT PAYMENT OAKWOOD APARTMENTS,-1650.00
06/03/2026,WHOLE FOODS MARKET #10245,-84.37
06/04/2026,STARBUCKS STORE #8841,-6.75
06/05/2026,SHELL OIL 5744221,-48.20
06/06/2026,NETFLIX.COM,-15.49
06/08/2026,SQ *BLUE BOTTLE COFFEE #442,-5.50
06/09/2026,AMAZON.COM*MK12P3,-37.94
06/10/2026,UBER TRIP HELP.UBER.COM,-18.35
06/11/2026,TRADER JOE'S #552,-52.10
06/12/2026,COMCAST XFINITY INTERNET,-79.99
06/13/2026,DOORDASH*THAI PALACE,-31.25
06/15/2026,PAYROLL DIRECT DEPOSIT ACME CORP,1600.00
06/16/2026,CVS/PHARMACY #9871,-22.48
06/17/2026,TARGET 00028839,-64.13
06/18/2026,PG&E ELECTRIC UTILITY,-102.55
06/20/2026,TST* THE RUSTIC TABLE,-72.40
06/21/2026,VENMO PAYMENT,-45.00
06/23/2026,24 HOUR FITNESS GYM,-49.99
06/25/2026,CHIPOTLE ONLINE,-14.85
06/27/2026,AMC THEATRES ONLINE,-34.00
06/28/2026,SAFEWAY STORE 1732,-58.67
06/30/2026,T-MOBILE PHONE BILL,-65.00
